norad_id,name,constellation,orbit_type,maneuver_type,delta_period_min,delta_inclination,delta_eccentricity,curr_period_min,curr_inclination,curr_eccentricity,prev_fetched_at,curr_fetched_at,prev_epoch,curr_epoch
64045,STARLINK-34033,Starlink,LEO,ALTITUDE_CHANGE,-0.159996,0,0.001221,95.98,70,0.001357,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.92921455,26092.99546592
64022,STARLINK-34051,Starlink,LEO,ALTITUDE_CHANGE,-0.120003,0,-0.000631,96.11,70,0.000291,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.93382414,26093.25001157
64023,STARLINK-34087,Starlink,LEO,ALTITUDE_CHANGE,0.110001,0,-0.000798,96.11,70,0.000325,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.94962281,26093.25001157
64359,STARLINK-34291,Starlink,LEO,ALTITUDE_CHANGE,0.110001,0,0.000508,96.22,70,0.000761,2026-04-03 11:09:00+00,2026-04-03 21:14:00+00,26092.66124629,26093.06217012
64292,STARLINK-34362,Starlink,LEO,ALTITUDE_CHANGE,-0.0699997,0,8.6e-05,96.1,70,0.000395,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.57143609,26093.25001157
64297,STARLINK-34369,Starlink,LEO,ALTITUDE_CHANGE,0.0699997,0,-9.6e-05,96.11,70,0.000436,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.56683125,26093.25001157
64308,STARLINK-34374,Starlink,LEO,ALTITUDE_CHANGE,-0.130005,0.0100021,0.002617,95.95,70.01,0.003061,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.83815106,26093.23832567
64299,STARLINK-34378,Starlink,LEO,ALTITUDE_CHANGE,-0.129997,0,0.001031,95.98,70,0.001392,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.15508400
65414,STARLINK-34411,Starlink,LEO,ALTITUDE_CHANGE,-0.239998,0,-7e-06,87.96,53.12,0.000367,2026-04-01 11:00:00+00,2026-04-01 19:05:00+00,26090.96463389,26091.02567985
64296,STARLINK-34443,Starlink,LEO,ALTITUDE_CHANGE,-0.0800018,0,-0.000238,96.1,70,0.000391,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.55478747,26093.25001157
64437,STARLINK-34507,Starlink,LEO,ALTITUDE_CHANGE,-0.129997,0,0.001012,95.98,70,0.001346,2026-04-03 09:09:00+00,2026-04-03 13:10:00+00,26092.87867824,26092.94492276
64419,STARLINK-34512,Starlink,LEO,ALTITUDE_CHANGE,-0.149994,0,0.001164,95.98,70,0.001346,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91622186,26092.98237185
64712,STARLINK-34515,Starlink,LEO,ALTITUDE_CHANGE,-0.0500031,0,0.000257,96.06,70,0.000547,2026-04-03 09:09:00+00,2026-04-03 11:09:00+00,26092.45168413,26092.85199880
64701,STARLINK-34576,Starlink,LEO,ALTITUDE_CHANGE,0.0599976,-0.0100021,-0.000315,96.11,70,0.000301,2026-04-03 11:09:00+00,2026-04-03 21:14:00+00,26092.85615103,26093.25001157
64799,STARLINK-34662,Starlink,LEO,ALTITUDE_CHANGE,0.120003,0,0.000487,96.23,70,0.000792,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.07572756
65335,STARLINK-34874,Starlink,LEO,ALTITUDE_CHANGE,0.269997,0,0.004483,94.38,53.16,0.004612,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.40627164,26093.25539445
65344,STARLINK-35088,Starlink,LEO,ALTITUDE_CHANGE,0.130005,0,0.003146,94.23,53.16,0.003302,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.72967052,26093.25238521
51726,STARLINK-3527,Starlink,LEO,ALTITUDE_CHANGE,-0.119995,0.0100021,-0.000259,95.41,53.22,8.2e-05,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.72317429,26093.33335648
66402,STARLINK-35644,Starlink,LEO,ALTITUDE_CHANGE,-0.110001,0,4.7e-05,91.15,53.16,0.000113,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
67860,STARLINK-35873,Starlink,LEO,ALTITUDE_CHANGE,0.0699997,0,7.6e-05,94.09,53.16,0.000154,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
68051,STARLINK-35911,Starlink,LEO,ALTITUDE_CHANGE,-0.120003,0,0.001259,91.29,53.16,0.00136,2026-04-02 16:56:00+00,2026-04-03 21:14:00+00,26092.00486678,26093.27354542
67011,STARLINK-36167,Starlink,LEO,ALTITUDE_CHANGE,0.0699997,0,-0.000526,96.11,70,0.000289,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.93709400,26093.25001157
67083,STARLINK-36170,Starlink,LEO,ALTITUDE_CHANGE,0.120003,0,0.000674,96.23,70,0.000939,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91120519,26092.97845600
67210,STARLINK-36173,Starlink,LEO,ALTITUDE_CHANGE,0.129997,0,0.000691,96.24,70,0.000978,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.78370761,26093.18471508
67023,STARLINK-36191,Starlink,LEO,ALTITUDE_CHANGE,0.0699997,0,-0.000521,96.11,70,0.000295,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.92045110,26093.25001157
67099,STARLINK-36193,Starlink,LEO,ALTITUDE_CHANGE,-0.0999985,0,0.000566,96.01,70,0.000781,2026-04-03 09:09:00+00,2026-04-03 13:10:00+00,26092.87797976,26092.94430323
67101,STARLINK-36200,Starlink,LEO,ALTITUDE_CHANGE,-0.129997,0,0.000281,95.98,70,0.000446,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.92389405,26092.99012082
67207,STARLINK-36225,Starlink,LEO,ALTITUDE_CHANGE,0.0699997,0,-0.000595,96.11,70,0.000369,2026-04-03 09:09:00+00,2026-04-03 21:14:00+00,26092.79195880,26093.25001157
68114,STARLINK-36229,Starlink,LEO,ALTITUDE_CHANGE,0.090004,0,-2.9e-05,92.65,97.29,0.00015,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
67939,STARLINK-36246,Starlink,LEO,ALTITUDE_CHANGE,0.0899963,0,-1e-05,93.21,43,8.7e-05,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
68307,STARLINK-36264,Starlink,LEO,ALTITUDE_CHANGE,0.0600052,0,9.00001e-06,90.65,97.28,0.00015,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
67198,STARLINK-36267,Starlink,LEO,ALTITUDE_CHANGE,0.120003,0,0.000342,96.23,70,0.000699,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.32676058
68215,STARLINK-36272,Starlink,LEO,ALTITUDE_CHANGE,0.0800018,0,4.6e-05,91.39,97.28,0.000196,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
68305,STARLINK-36277,Starlink,LEO,ALTITUDE_CHANGE,0.0600052,0,1.1e-05,90.65,97.28,0.000153,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
68303,STARLINK-36300,Starlink,LEO,ALTITUDE_CHANGE,0.0600052,0,0,90.66,97.28,0.000147,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
68306,STARLINK-36307,Starlink,LEO,ALTITUDE_CHANGE,0.0600052,0,-2e-06,90.65,97.28,0.000141,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
68090,STARLINK-36320,Starlink,LEO,ALTITUDE_CHANGE,0.220001,0,0.001287,91.62,53.16,0.001563,2026-03-28 23:07:00+00,2026-04-03 21:14:00+00,26086.15385821,26093.06973828
67861,STARLINK-36325,Starlink,LEO,ALTITUDE_CHANGE,0.0600052,0,5.6e-05,94.08,53.16,0.000164,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
68096,STARLINK-36328,Starlink,LEO,ALTITUDE_CHANGE,-0.0599976,0,0.000175,91.36,53.16,0.000304,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.16459881
67862,STARLINK-36332,Starlink,LEO,ALTITUDE_CHANGE,0.0999985,0,1.5e-05,94.11,53.16,0.000173,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
68015,STARLINK-36335,Starlink,LEO,ALTITUDE_CHANGE,0.0899963,0,3.2e-05,92.57,97.29,0.000179,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
68298,STARLINK-36355,Starlink,LEO,ALTITUDE_CHANGE,0.0599976,0,-2e-05,90.67,97.28,0.000113,2026-04-03 13:10:00+00,2026-04-03 21:14:00+00,26092.91668981,26093.25001157
